compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	link-wiktionnary	freq-frWaC	related-expr	comment	Carlos-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdet	etre	avoir	quedet
service public	service	public	service	public	NA	S	M	no	no	https://fr.wiktionary.org/wiki/service_public	93258			C	Développons des<strong> services publics</strong> de qualité !	La poste doit rester un<strong> service public</strong> !	Les<strong> services publics</strong> seraient coûteux et inefficaces.	service public	un	est	a	qu'
premier ministre	ministre	premier	ministre	premier	AN	S	M	no	no	https://fr.wiktionary.org/wiki/premier_ministre	66753			C	Borloo espère le poste de<strong> premier ministre</strong>.	Chirac ne nommerait pas Sarkozy<strong> premier ministre</strong>.	Le<strong> premier ministre</strong> est un dirigeant respecté.	premier ministre	un	est	a	qu'
sécurité sociale	sécurité	sociale	sécurité	social	NA	S	F	no	no	https://fr.wiktionary.org/wiki/s%C3%A9curit%C3%A9_sociale	57543			C	La<strong> sécurité sociale</strong> est notre patrimoine commun.	Elle est remboursée par la<strong> sécurité sociale</strong>.	La<strong> sécurité sociale</strong> est une assurance maladie obligatoire.	sécurité social	une	est	a	qu'
conseil municipal	conseil	municipal	conseil	municipal	NA	S	M	no	no	https://fr.wiktionary.org/wiki/conseil_municipal	47914			C	Le<strong> conseil municipal</strong> donne son accord.	Les séances du<strong> conseil municipal</strong> sont publiques.	Le budget est voté par le<strong> conseil municipal</strong>.	conseil municipal	un	est	a	qu'
directeur général	directeur	général	directeur	général	NA	S	M	no	no	https://fr.wiktionary.org/wiki/directeur_g%C3%A9n%C3%A9ral	43778			C	Il était<strong> directeur général</strong> de valoris.	Le<strong> directeur général</strong> dirige la nouvelle institution.	Un<strong> directeur général</strong> sera nommé prochainement.	directeur général	un	est	a	qu'
ressources humaines	ressources	humaines	ressource	humain	NA	P	F	no	no	https://fr.wiktionary.org/wiki/ressources_humaines	32436			C	Le sous-directeur des<strong> ressources humaines</strong> était absent.	On recherche un consultant en<strong> ressources humaines</strong>.	Cette activité réveille des besoins en<strong> ressources humaines</strong>.	ressource humain	des	sont	ont	que 
jeune fille	fille	jeune	fille	jeune	AN	S	F	yes	no	https://fr.wiktionary.org/wiki/jeune_fille	31747			C	La<strong> jeune fille</strong> blonde repart.	Cette<strong> jeune fille</strong> était sa soeur.	La<strong> jeune fille</strong> le regarde intensément.	jeune fille	une	est	a	qu'
journal officiel	journal	officiel	journal	officiel	NA	S	M	no	no	https://fr.wiktionary.org/wiki/Journal_officiel	30999			C	Cet arrêté est publié au<strong> journal officiel</strong>.	Sa publication au<strong> journal officiel</strong> est imminente.	Il consulte le<strong> journal officiel</strong> de la république française.	journal officiel	un	est	a	qu'
temps réel	temps	réel	temps	réel	NA	S	M	no	no	https://fr.wiktionary.org/wiki/temps_r%C3%A9el	30172			PC	Informez vous en<strong> temps réel</strong> !	La traduction se fait en<strong> temps réel</strong>.	Vos véhicules sont suivis en<strong> temps réel</strong>.	temps réel	un	est	a	qu'
vie quotidienne	vie	quotidienne	vie	quotidien	NA	S	F	no	no	https://fr.wiktionary.org/wiki/vie_quotidienne	29553			C	Ces élections concernent la<strong> vie quotidienne</strong> des populations.	La métallurgie fait partie de notre<strong> vie quotidienne</strong>.	Oubliez les petits accidents de la<strong> vie quotidienne</strong>.	vie quotidien	une	est	a	qu'
développement économique	développement	économique	développement	économique	NA	S	M	yes	no	XX	27458			C	La priorité est pourtant le<strong> développement économique</strong>.	C'est une ville en plein<strong> développement économique</strong>.	La Chine connaît aujourd'hui un<strong> développement économique</strong> extraordinaire.	développement économique	un	est	a	qu'
petit déjeuner	déjeuner	petit	déjeuner	petit	AN	S	M	no	no	https://fr.wiktionary.org/wiki/petit_d%C3%A9jeuner	25424			PC	Je veux un bon <strong>petit-déjeuner</strong>.	Que mangent les suédois au <strong>petit-déjeuner </strong> ?	Cet hôtel sert un<strong> petit déjeuner</strong> continental.	petit déjeuner	un	est	a	qu'
intérêt général	intérêt	général	intérêt	général	NA	S	M	no	no	https://fr.wiktionary.org/wiki/int%C3%A9r%C3%AAt_g%C3%A9n%C3%A9ral	23748			C	Concurrence et<strong> intérêt général</strong> sont antinomiques.	Ils donnent surtout des informations d'<strong>intérêt général</strong>.	Comment conduire les entreprises à respecter l'<strong>intérêt général</strong> ?	intérêt général	un	est	a	qu'
site officiel	site	officiel	site	officiel	NA	S	M	no	no	XX	23219			C	Vérifier les dates sur le<strong> site officiel</strong>.	Le<strong> site officiel</strong> européen vient d'être ouvert.	Ce<strong> site officiel</strong> vous indiquera tous les renseignements intéressants.	site officiel	un	est	a	qu'
langue française	langue	française	langue	français	NA	S	F	no	no	https://fr.wiktionary.org/wiki/langue_fran%C3%A7aise	21959			C	La<strong> langue française</strong> est belle et riche...	Les dossiers sont rédigés en<strong> langue française</strong>.	Les candidats étrangers doivent maîtriser la<strong> langue française</strong>.	langue français	une	est	a	qu'
disque dur	disque	dur	disque	dur	NA	S	M	no	no	https://fr.wiktionary.org/wiki/disque_dur	20546			PC	Il va reformater votre<strong> disque dur</strong>.	Enregistrez le fichier sur le<strong> disque dur</strong>.	Rechercher un fichier sur le<strong> disque dur</strong>.	disque dur	un	est	a	qu'
matière première	matière	première	matière	premier	NA	S	F	no	no	https://fr.wiktionary.org/wiki/mati%C3%A8re_premi%C3%A8re	19769			PC	La demande de<strong> matières premières</strong> explose.	Cette<strong> matière première</strong> doit obligatoirement être transformée.	Toutes les<strong> matières premières</strong> sont rigoureusement sélectionnées.	matière premier	une	est	a	qu'
table ronde	table	ronde	table	rond	NA	S	F	no	no	https://fr.wiktionary.org/wiki/table_ronde	19546			NC	Il animera ensuite la<strong> table ronde</strong>.	Chaque<strong> table ronde</strong> aborde une problématique différente.	Plusieurs<strong> tables rondes</strong> et ateliers seront organisés.	table rond	une	est	a	qu'
école primaire	école	primaire	école	primaire	NA	S	F	yes	no	https://fr.wiktionary.org/wiki/%C3%A9cole_primaire	18244			C	L'<strong>école primaire</strong> est juste en face.	Ces jeux s'adressaient surtout aux élèves des<strong> écoles primaires</strong>.	Des professeurs d'<strong>école primaire</strong> étaient venus avec leurs élèves.	école primaire	une	est	a	qu'
temps partiel	temps	partiel	temps	partiel	NA	S	M	no	no	https://fr.wiktionary.org/wiki/%C3%A0_temps_partiel	18088			PC	Ils travaillent à<strong> temps partiel</strong>.	Charlotte devient salariée à<strong> temps partiel</strong>.	1 professionnel sur 4 exerce à<strong> temps partiel</strong>.	temps partiel	un	est	a	qu'
année scolaire	année	scolaire	année	scolaire	NA	S	F	yes	no	XX	17857			C	L'<strong>année scolaire</strong> passe toujours très vite.	L'<strong>année scolaire</strong> va pouvoir se dérouler normalement.	Chaque enfant lira 100 livres durant l'<strong>année scolaire</strong>.	année scolaire	une	est	a	qu'
changement climatique	changement	climatique	changement	climatique	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/changement_climatique	17484			C	Cette menace est accentuée par les<strong> changements climatiques</strong>.	Le<strong> changement climatique</strong> est une question de société.	Ces<strong> changements climatiques</strong> entraînent alors la disparition de nombreuses espèces.	changement climatique	un	est	a	qu'
bon sens	sens	bon	sens	bon	AN	S	M	no	no	https://fr.wiktionary.org/wiki/bon_sens	17241			C	Cette initiative de<strong> bon sens</strong> est à saluer.	Vous faites preuve d'un incontestable<strong> bon sens</strong>.	C'est une stratégie fondée sur le<strong> bon sens</strong>.	bon sens	un	est	a	qu'
organisation syndicale	organisation	syndicale	organisation	syndical	NA	S	F	no	no	XX	17117			C	Les<strong> organisations syndicales</strong> ont critiqué ce document.	Cette avancée répond aux revendications présentées par les<strong> organisations syndicales</strong>.	Interpellez les<strong> organisations syndicales</strong> de votre entreprise.	organisation syndical	une	est	a	qu'
eau potable	eau	potable	eau	potable	NA	S	F	yes	no	https://fr.wiktionary.org/wiki/eau_potable	16463			C	Ce système non réversible gaspille beaucoup d'<strong>eau potable</strong>.	Je fais attention à mes consommations d'<strong>eau potable</strong>.	Chaque maison est raccordée au réservoir d'<strong>eau potable</strong>.	eau potable	une	est	a	qu'
grande entreprise	entreprise	grande	entreprise	grand	AN	S	F	no	no	XX	16315			C	Je suis cadre dans une<strong> grande entreprise</strong>.	Les<strong> grandes entreprises</strong> réalisent des économies d'échelles.	Les<strong> grandes entreprises</strong> du bâtiment affichent des résultats flamboyants.	grand entreprise	une	est	a	qu'
courrier électronique	courrier	électronique	courrier	électronique	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/courrier_%C3%A9lectronique	16200			C	Ces informations lui sont transmises par<strong> courrier électronique</strong>.	Le<strong> courrier électronique</strong> a modifié nos comportements épistolaires.	Le logiciel de<strong> courrier électronique</strong> compresse les dossiers.	courrier électronique	un	est	a	qu'
insertion professionnelle	insertion	professionnelle	insertion	professionnel	NA	S	F	no	no	XX	16091			C	L'<strong>insertion professionnelle</strong> des jeunes musiciens est une préoccupation majeure.	Ce réseau devrait aider à l'<strong>insertion professionnelle</strong> des futurs docteurs.	Le baccalauréat professionnel est un diplôme à finalité d'<strong>insertion professionnelle</strong>.	insertion professionnel	une	est	a	qu'
expérience professionnelle	expérience	professionnelle	expérience	professionnel	NA	S	F	no	no	XX	15510			C	Deux années d'<strong>expérience professionnelle</strong> sont parfois requises.	L'<strong>expérience professionnelle</strong> minimum est de 3 ans.	Le stage en entreprise est une première<strong> expérience professionnelle</strong>.	expérience professionnel	une	est	a	qu'
parti politique	parti	politique	parti	politique	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/parti_politique	15201			C	Le système politique autorise les<strong> partis politiques</strong>.	Les<strong> partis politiques</strong> se déchirent entre eux.	Paris n'appartient à aucun<strong> parti politique</strong>.	parti politique	un	est	a	qu'
sécurité routière	sécurité	routière	sécurité	routier	NA	S	F	no	no	XX	14363			C	La<strong> sécurité routière</strong> est l'affaire de tous.	La<strong> sécurité routière</strong> lutte vigoureusement contre son usage au volant.	La<strong> sécurité routière</strong> en sera gagnante de par la baisse des vitesses.	sécurité routier	une	est	a	qu'
bonne pratique	pratique	bonne	pratique	bon	AN	S	F	no	no	https://fr.wikipedia.org/wiki/Bonne_pratique	14215			C	Voici un résumé des<strong> bonnes pratiques</strong> alimentaires.	Les<strong> bonnes pratiques</strong> peuvent cacher de mauvaises intentions !	Ils sont tenus de respecter un code de<strong> bonnes pratiques</strong>.	bon pratique	une	est	a	qu'
téléphone portable	téléphone	portable	téléphone	portable	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/t%C3%A9l%C3%A9phone_portable	13745			C	Le<strong> téléphone portable</strong> a envahi notre quotidien.	L'utilisation des<strong> téléphones portables</strong> est interdite.	Je lui ai donné mon numéro de<strong> téléphone portable</strong>.	téléphone portable	un	est	a	qu'
région parisienne	région	parisienne	région	parisien	NA	S	F	no	no	XX	13668			C	Elle vit et travaille en<strong> région parisienne</strong>.	Je peux me déplacer aussi en<strong> région parisienne</strong>.	Je vis actuellement en<strong> région parisienne</strong> dans l'Essonne.	région parisien	une	est	a	qu'
heure supplémentaire	heure	supplémentaire	heure	supplémentaire	NA	S	F	yes	no	https://fr.wiktionary.org/wiki/heure_suppl%C3%A9mentaire	13434			PC	Comment sont rémunérées les<strong> heures supplémentaires</strong> ?	La rémunération due englobe les<strong> heures supplémentaires</strong>.	Combien d'<strong>heures supplémentaires</strong> doivent travailler les cadres ?	heure supplémentaire	une	est	a	qu'
recherche scientifique	recherche	scientifique	recherche	scientifique	NA	S	F	yes	no	https://fr.wiktionary.org/wiki/recherche_scientifique	13130			C	La<strong> recherche scientifique</strong> repose sur la publication d'articles.	Ses activités s'appuient sur une<strong> recherche scientifique</strong> pluridisciplinaire.	La<strong> recherche scientifique</strong> requiert débat et validation par les pairs.	recherche scientifique	une	est	a	qu'
premier plan	plan	premier	plan	premier	AN	S	M	no	no	XX	13096			C	Les retraités sont au<strong> premier plan</strong>.	On voit au<strong> premier plan</strong> des graviers.	Berthe Morisot peintre également, apparaît au<strong> premier plan</strong>.	premier plan	un	est	a	qu'
temps plein	temps	plein	temps	plein	NA	S	M	no	no	https://fr.wiktionary.org/wiki/%C3%A0_temps_plein	12760			PC	La grande majorité exerce à<strong> temps plein</strong>	Ce sont des formations à<strong> temps plein</strong>.	Je suis disponible immédiatement à<strong> temps plein</strong>.	temps plein	un	est	a	qu'
vie associative	vie	associative	vie	associatif	NA	S	F	no	no	XX	12506			C	La<strong> vie associative</strong> reste importante et dynamique.	La<strong> vie associative</strong> est très présente à Saint-Nabord.	Les femmes sont déjà largement investies dans la<strong> vie associative</strong>.	vie associatif	une	est	a	qu'
eau chaude	eau	chaude	eau	chaud	NA	S	F	no	no	XX	12181			C	La rincer à l'<strong>eau chaude</strong> puis la sécher.	La système assure également la production d'<strong>eau chaude</strong> sanitaire.	L'<strong>eau chaude</strong> est produite grâce à des panneaux solaires.	eau chaud	une	est	a	qu'
art contemporain	art	contemporain	art	contemporain	NA	S	M	no	no	XX	12037			C	L'<strong>art contemporain</strong> a une signification précise.	Elle propose des expositions d'<strong>art contemporain</strong> en ligne.	Le musée d'<strong>art contemporain</strong> de sarajevo n'existe pas encore.	art contemporain	un	est	a	qu'
monument historique	monument	historique	monument	historique	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/monument_historique	11988			C	L'édifice est classé<strong> monument historique</strong>.	Les<strong> monuments historiques</strong> ne sont pas des parkings !	Il fut attaché ensuite à la commission des<strong> monuments historiques</strong>.	monument historique	un	est	a	qu'
parc naturel	parc	naturel	parc	naturel	NA	S	M	no	no	https://fr.wiktionary.org/wiki/parc_naturel	11914			C	Le premier<strong> parc naturel</strong> fut celui de Yellowstone.	La France compte aujourd'hui 40<strong> parcs naturels</strong> régionaux.	La commune fait partie du<strong> parc naturel</strong> régional du Verdon.	parc naturel	un	est	a	qu'
second degré	degré	second	degré	second	AN	S	M	no	no	https://fr.wiktionary.org/wiki/second_degr%C3%A9	11906			NC	Ce texte aurait été drôle au<strong> second degré</strong> !	Je pense qu'il faut voir le film au<strong> second degré</strong>.	Mon voisin, visiblement, ne comprend pas le<strong> second degré</strong>.	second degré	un	est	a	qu'
petite annonce	annonce	petite	annonce	petit	AN	S	M	no	no	https://fr.wiktionary.org/wiki/petite_annonce	11740			PC	Déposer votre<strong> petite annonce</strong> gratuitement.	Ils répondent à la même<strong> petite annonce</strong>.	Consultez gratuitement les<strong> petites annonces</strong> classées par rubriques.	petit annonce	un	est	a	qu'
réchauffement climatique	réchauffement	climatique	réchauffement	climatique	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/r%C3%A9chauffement_climatique	11716			C	Le<strong> réchauffement climatique</strong> clairement s'accélère.	Le<strong> réchauffement climatique</strong> actuel va affecter la biodiversité.	Al Gore pointe du doigt les dangers du<strong> réchauffement climatique</strong>.	réchauffement climatique	un	est	a	qu'
activité physique	activité	physique	activité	physique	NA	S	F	yes	no	XX	11615			C	L'<strong>activité physique</strong> est la meilleure des préventions.	Efforcez-vous de pratiquer régulièrement une<strong> activité physique</strong>.	Elle organise des stages d'<strong>activités physiques</strong> et sportives.	activité physique	une	est	a	qu'
centre commercial	centre	commercial	centre	commercial	NA	S	M	no	no	https://fr.wiktionary.org/wiki/centre_commercial	10475			C	Les<strong> centres commerciaux</strong> différent également selon chaque pays.	Le<strong> centre commercial</strong> a plus de 23 500 employés.	La première bombe a été déposée devant un<strong> centre commercial</strong>.	centre commercial	un	est	a	qu'
droit fondamental	droit	fondamental	droit	fondamental	NA	S	M	no	no	XX	10445			C	La peine de mort viole ce<strong> droit fondamental</strong>.	La sécurité est un des<strong> droits fondamentaux</strong> du citoyen.	L'accès aux soins est pourtant un<strong> droit fondamental</strong>.	droit fondamental	un	est	a	qu'
bonne humeur	humeur	bonne	humeur	bon	AN	S	F	no	no	https://fr.wiktionary.org/wiki/bonne_humeur	9835			C	Je me suis levé de<strong> bonne humeur</strong> ce matin.	La soirée s'est déroulée dans la<strong> bonne humeur</strong>.	Il semblait solitaire, et pas de très<strong> bonne humeur</strong>.	bon humeur	une	est	a	qu'
court-métrage	métrage	court	métrage	court	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/court-m%C3%A9trage	9803			PC	Je voudrais réaliser un <strong>court-métrage </strong>cinéma.	Attention, ce <strong>court-métrage </strong>contient des images dures !	Il a reçu le César du meilleur <strong>court-métrage</strong>.	court métrage	un	est	a	qu'
vin blanc	vin	blanc	vin	blanc	NA	S	M	no	no	https://fr.wiktionary.org/wiki/vin_blanc	9254			PC	Déglacer la poele avec le<strong> vin blanc</strong>.	Quelquefois des<strong> vins blancs</strong> sont légèrement amers.	Il buvait du<strong> vin blanc</strong> et pouvait être bagarreur.	vin blanc	un	est	a	qu'
charge sociale	charge	sociale	charge	social	NA	S	F	no	no	XX	8726			C	Les heures supplémentaires sont désormais exemptées de<strong> charges sociales</strong>.	Cela vous évitera de payer deux fois les<strong> charges sociales</strong>.	Le poids des<strong> charges sociales</strong> est un frein pour l'emploi.	charge social	une	est	a	qu'
ordure ménagère	ordure	ménagère	ordure	ménager	NA	S	F	no	no	XX	8667			C	Jetez le filtre usagé avec vos<strong> ordures ménagères</strong>.	Les<strong> ordures ménagères</strong> sont enlevées et traitées quotidiennement.	Les déchets toxiques et<strong> ordures ménagères</strong> sont totalement interdits.	ordure ménager	une	est	a	qu'
guerre civile	guerre	civile	guerre	civil	NA	S	F	no	no	https://fr.wiktionary.org/wiki/guerre_civile	8628			C	La Somalie est en<strong> guerre civile</strong> depuis 1991.	Cette situation explosive menace de dégénérer en<strong> guerre civile</strong>.	La<strong> guerre civile</strong> a fait près de 70.000 morts.	guerre civil	une	est	a	qu'
huile essentielle	huile	essentielle	huile	essentiel	NA	S	F	no	no	https://fr.wiktionary.org/wiki/huile_essentielle	8442			PC	Quelles propriétés ont les<strong> huiles essentielles</strong> ?	Le parfum est constitué d'<strong>huiles essentielles</strong> bio.	Le traitement est composé de phytothérapie et de massage aux<strong> huiles essentielles</strong>.	huile essentiel	une	est	a	qu'
grande surface	surface	grande	surface	grand	AN	S	F	no	no	https://fr.wiktionary.org/wiki/grande_surface	8426			NC	Tu l'as acheté en<strong> grande surface</strong> ?	Ces<strong> grandes surfaces</strong> se distribuent les parts de marché.	Les<strong> grandes surfaces</strong> appliquent parfois des horaires plus étendus.	grand surface	une	est	a	qu'
travaux publics	travaux	publics	travail	public	NA	P	M	no	no	https://fr.wiktionary.org/wiki/travaux_publics	8415			C	Ces informations concernent tous les ouvriers qualifiés des<strong> travaux publics</strong>.	Les<strong> travaux publics</strong> représentaient en 2004 environ 8 000 entreprises.	Certains métiers des<strong> travaux publics</strong> sont des métiers à caractère dangereux.	travail public	des	sont	ont	que 
communauté urbaine	communauté	urbaine	communauté	urbain	NA	S	F	no	no	XX	8309			C	La<strong> communauté urbaine</strong> de nantes suit la démarche de rennes.	La demeure appartient actuellement à la<strong> communauté urbaine</strong> de bordeaux.	Le ramassage des encombrants est une compétence de la<strong> communauté urbaine</strong>.	communauté urbain	une	est	a	qu'
